text,Manual Calssification,Classification,Correct or Incorrect
 that moment when you re ready to watch arsenal fan tv ud d udc ud c udf f t co zvegrjaijc ,neutral,neutral,correct
 uff el arsenal otra vez ,neutral,positive,incorrect
 today s first time it feels like arsenal are back in mid s rudderless and directionless endgame for wenger surel u ,negative,positive,incorrect
 we will not allow you sack wenger n nwe will not take it he is a philanthropist ,positive,positive,correct
 ud d udcf back on track and onto points n ncome on you baggies n n wbaars wba t co p dix ac ,neutral,positive,incorrect
 arsenal ud e udd ,neutral,positive,incorrect
 ape jadi ngan arsenal nih ozil x dekkk x mainnn ,neutral,negative,incorrect
 well,positive,positive,correct
 any reason why our best players weren t on the pitch in the first place arsenal wengerout ramseyout kronkeout ,negative,positive,incorrect
 liverpool try their hardest to be the banter club but arsenal are usually like u hold my beer u ,neutral,neutral,correct
 felicitaciones,neutral,positive,incorrect
 arsenal looooooool ,negative,positive,incorrect
 arsenal fans planning to do this in the next game t co spahr cxii ,negative,negative,correct
 arsenal have lost three away league matches in a row for the first time since august october wbaars t co h v u ,negative,negative,correct
 we will not allow you sack wenger n nwe will not take it he is a philanthropist ,positive,positive,correct
 in ,neutral,positive,incorrect
 all for arsenal fan tv ,neutral,positive,incorrect
 deaddddddd west brom is using arsenal to test run teenagers ,positive,positive,correct
 totally need to absolutely batter the arsenal twitter account club have to get the message ,negative,negative,correct
 a manchester united win can move them from th tomorrow,neutral,positive,incorrect
 life is too short for me to be stressing about arsenal like this ,negative,positive,incorrect
 t co xekxrbe ze ,neutral,positive,incorrect
 ud d ude f t co s waoiwqcm ,neutral,positive,incorrect
 arsenal soooo poor ud d ude ,negative,negative,correct
 arsenal fans have been screaming th from th place loool ,negative,positive,incorrect
 udah gak ada mental lagi ini gua rasa wengerout ,neutral,positive,incorrect
 on me souffle dans l oreillette que pdnt que je m amuse au salon du fitness,neutral,positive,incorrect
 what have we become ud d ude arsenal it s a sad day when we get beat by west brom no one fears arsenal anymore wengerout ,negative,negative,correct
 then make your voice heard amp demand change t co zi pacg l ,negative,positive,incorrect
 t co nxmlb vw v ,neutral,positive,incorrect
 tumben banget update soal bola ud d ude c ud d ude c t co kb e aw y ,neutral,positive,incorrect
 all because you want united to remain in the th position smh t co ntv mmsmv ,neutral,positive,incorrect
 u u a u u u u a u u u u u u u u u a u u u u u u u c u u u b u ,neutral,positive,incorrect
 do the honorable thing arsene and ,positive,positive,correct
 this one wants to occupy arsenal ud d ude d ud d ude d ud d ude e t co xvndww coe ,neutral,positive,incorrect
 most damning aspect of this is arsenal can t even remotely feel hard done by technically,negative,negative,correct
 this is getting plane ridiculous t co uiywngtuo ,negative,negative,correct
 we really are embarrassing,negative,negative,correct
 hahahahhahahah arsenal hahahahhahaha ,negative,positive,incorrect
 arsenal ,neutral,positive,incorrect
 two craig dawson headers seal an impressive home win for tony pulis s men wbaars t co nojdcgzua ,positive,positive,correct
 have arsenal stopped saying it s up to arsene to decide when he goes hope so it s not usually up to the employee to decide these things ,negative,positive,incorrect
 plisss bilang lah wenger saya tdk melatih arsenal lagi di musim depan ,neutral,positive,incorrect
 that s it arsenal fall to ,negative,negative,correct
