yes or no,manual,score,text
yes,0,0, t co s qsM xPol 
yes,-1,-1, RT MCFC vs LFC was a match of missed opportunities
yes,0,0, Man Utd have an edge against us ud d ude c t co Og B r Ou 
yes,1,1, Yes Great shot by Milner Love how Klopp doesn t watch penalty shots lfc 
yes,0,0, Non sbaglia il rigore il capitano del LFC come sempre Rigore ottenuto da Firmino
yes,-1,-1, WHAT THE HECK is she putting inside n MCILIV n t co pr Um naB 
yes,0,0, nTupo Ndaaaaaani sana mie na ubavu wangu Monicah Outer matongo livepool u 
yes,0,0, Firmino dribble and passing has been superb but the finishing was a very poor ud d ude ud d ude MCILIV 
yes,0,0, Two penalties not given to Liverpool MCILIV 
yes,-3,-3, fuck off you useless cunts t co fgsJzJxwCw 
yes,1,1, She s Beautiful n MCILIV n t co L EbkEyXl 
yes,1,1, She s Beautiful n MCILIV n t co EKYxYj ZGj 
yes,0,0, ptain dommage Sadio Mane il aurait d u fb mieux faire MCILIV 
yes,0,0, u e u e u e d u e u e a u e a u e u e u e u e a u e c u e u e u e u e u e u e u e u e u e b u e u e u e u e u e u e u e u e u e LFC 
yes,0,0, ud d udcaa t co cG fXmzSx 
yes,-1,-1, WHAT THE HECK is she putting inside n MCILIV n t co IAGHLwIRE 
yes,1,1, FIRMINO GOING OFF TO SLIDE IN FRONT OF THE LFC FANS THEN LOOKS BACK HAHAHAHA n n t co x JRSUnZpd 
yes,1,1, A solid shift from both sides ud d udd ud d udd t co exgNGruQ y 
yes,1,1, Pep Guardiola u cThis is one of the happiest days of my life as a manager How we played against Liverpool means a l u 
yes,-1,-1, Who turned the penalty feature off then Michael Oliver having a worldy as usual ud e udd LFC 
yes,1,1, A solid shift from both sides ud d udd ud d udd t co exgNGruQ y 
yes,0,0, Klopp
no,-1,1, MCFC fans booing James Milner MCILIV t co vtgFGhsmf 
yes,1,1, James Milner with a superb penalty on his return to MCFC One of the best players on the pitch today MCILIV LFC 
yes,0,0, GOAL Manchester City Liverpool James Milner scores a penalty after being booed all game from the City fans M u 
yes,-1,-1, How is that not a penalty mciliv 
no,0,1, Watch Manchester City vs Liverpool Premier League Live Stream t co ypWA ag pD n n mcfc cityvlfc LFC PL 
no,0,-1, MCILIV Grosse intensit u e dans ce CHOC de PL Matip vient mettre sa t u eate sur coup franc u e a passe u e c u f t u e u 
no,-1,0, Never a penalty Once you get megged like that
yes,1,1, Emre and Gini were the best for us today Milner came next n LFC 
no,-1,1, win you frauds 
