"text","emotion","polarity"
" u starfootballleague n u mciliv n u a mufc n u b stephen odey n u c drpaul yahweh video n n wat trndnl t co zx a ks ","unknown","negative"
" mane with some insane pace","unknown","negative"
" fucking hell i m sitting in the gym and mciliv is on and the people here just went wild when lallana bottled it to make it ud d ude ","unknown","negative"
" a good battle ud d udd ud d udd t co y qkgj gg ","joy","neutral"
" city will not finish in the top period you can take that to the bank","surprise","neutral"
" what the heck is she putting inside n mciliv n t co e qnkfuwqy ","unknown","negative"
" milner to liverpool free n nsterling to city u a m n nlfc might lose their young potential player","unknown","positive"
" cabellero doing a dwight gayle here and turning up against lfc ","unknown","positive"
" ud d udcf sergio aguero celebrates man city s equaliser against liverpool n nit s with mins remaining mciliv t c u ","unknown","positive"
" ft ud d udd ud d udd n nan absorbing game at the etihad as the points are shared cityvlfc mcfc t co s xfbiweta ","unknown","negative"
" she s beautiful n mciliv n t co xlxhxtjhgr ","unknown","positive"
" u e u e u e u e u e u e a u e u e u e u e c u e d u e u e u e u e u e u e u e d u e u e u e a u e c u e u e a u e u e u e u e u e a u e d u e u e c u e u e u e u e u e u e d u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e a u e u e u e u e c u e u e u e u e b u e u e d u e u e u e u e u e u e u e u e u e u e u e u e u e a u e u e u e u e c u e a u e d u e a u e u e u e d u e u e u e u e ud d ude ud d ude ud d ude lfc ","unknown","positive"
" sergio aguero cette apr u e s midi mciliv t co mjynxiipdj ","unknown","positive"
" ud d udcf james milner makes it ufe f u e out of ufe f u e from the u aa ufe f this season n nit s man city liverpool mins mciliv u ","unknown","positive"
" yessss loftey t co idlxvbdutq ","unknown","positive"
" toure should be off","unknown","positive"
" d u e couvrez le jardin m u e morial de l etihad stadium u e mancity amp la grande tradition des supporters anglais ud d ude f u bd ufe f ud c uddec ud c udde u ","unknown","positive"
" missarnas match fortsatt obesegrat mot topp sex i alla fall lfc ","surprise","neutral"
" betvictor new custom nbet u a get n football golf epl sfc n lfc mufc mcfc afc nentry k golden goal claim u t co ys a wqrwi ","sadness","negative"
" u a u u u f u u a u u u u u u f u a u sauditrendat n cityvlfc n u u a u u a u u u u u u u u u a u u u u u u u u a u f n u u u u u u a u a u u u u u u f u u u u a u u u a n mciliv u u a u u u a u u u u a u t co tuxookwfst u ","unknown","positive"
" can playing well so far looking to add a few extra k lfc ","unknown","positive"
" what the heck is she putting inside n mciliv n t co c arpoxyn ","unknown","negative"
" what the heck is she putting inside n mciliv n t co iaghlwire ","unknown","negative"
" get in there milner lfc ynwa ","sadness","negative"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" lfc relief for the reds n nsterling can t finish from a cross and neither can fernandinho on the follow up n n ","unknown","neutral"
" he s playing bad","sadness","negative"
" each","unknown","positive"
" feckin c mannnnnnnnnn lfc ","unknown","positive"
" can is freaking amazing he did a lot of work both in defence and offense lfc ","anger","neutral"
" u yellow card man city nman city liverpool n mciliv t co ynhb kg qg ","unknown","positive"
" proper game of football that take a point lfc ","unknown","neutral"
" you should be a comedian t co bcbfcvkima ","unknown","positive"
" good to see you n n ud d udd ud d udd t co oirveylij ","joy","positive"
" u n n t co is rawtnf ","unknown","positive"
" matches between premier league s big slightly irrelevant league table n n lfc n cfc n thfc n mcfc n mufc u ","unknown","negative"
" t co s qsm xpol ","unknown","positive"
" rt mcfc vs lfc was a match of missed opportunities","unknown","positive"
" man utd have an edge against us ud d ude c t co og b r ou ","unknown","positive"
" yes great shot by milner love how klopp doesn t watch penalty shots lfc ","joy","neutral"
" non sbaglia il rigore il capitano del lfc come sempre rigore ottenuto da firmino","surprise","positive"
" what the heck is she putting inside n mciliv n t co pr um nab ","unknown","negative"
" ntupo ndaaaaaani sana mie na ubavu wangu monicah outer matongo livepool u ","unknown","positive"
" firmino dribble and passing has been superb but the finishing was a very poor ud d ude ud d ude mciliv ","sadness","neutral"
" two penalties not given to liverpool mciliv ","unknown","positive"
" fuck off you useless cunts t co fgsjzjxwcw ","unknown","negative"
" she s beautiful n mciliv n t co l ebkeyxl ","unknown","positive"
" she s beautiful n mciliv n t co ekyxyj zgj ","unknown","positive"
" ptain dommage sadio mane il aurait d u fb mieux faire mciliv ","unknown","negative"
" u e u e u e d u e u e a u e a u e u e u e u e a u e c u e u e u e u e u e u e u e u e u e b u e u e u e u e u e u e u e u e u e lfc ","unknown","positive"
" ud d udcaa t co cg fxmzsx ","unknown","positive"
" what the heck is she putting inside n mciliv n t co iaghlwire ","unknown","negative"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" a solid shift from both sides ud d udd ud d udd t co exgngruq y ","unknown","positive"
" pep guardiola u cthis is one of the happiest days of my life as a manager how we played against liverpool means a l u ","joy","positive"
" who turned the penalty feature off then michael oliver having a worldy as usual ud e udd lfc ","unknown","negative"
" a solid shift from both sides ud d udd ud d udd t co exgngruq y ","unknown","positive"
" klopp","unknown","positive"
" mcfc fans booing james milner mciliv t co vtgfghsmf ","unknown","positive"
" james milner with a superb penalty on his return to mcfc one of the best players on the pitch today mciliv lfc ","unknown","positive"
" goal manchester city liverpool james milner scores a penalty after being booed all game from the city fans m u ","unknown","negative"
" how is that not a penalty mciliv ","unknown","negative"
" watch manchester city vs liverpool premier league live stream t co ypwa ag pd n n mcfc cityvlfc lfc pl ","joy","positive"
" mciliv grosse intensit u e dans ce choc de pl matip vient mettre sa t u eate sur coup franc u e a passe u e c u f t u e u ","unknown","negative"
" never a penalty once you get megged like that","joy","negative"
" emre and gini were the best for us today milner came next n lfc ","unknown","positive"
"","unknown","positive"
" win you frauds ","unknown","positive"
" c est quoi ce match mciliv ud d ude d ","joy","positive"
" back to it n ncome on","unknown","positive"
" e que falhan u e o t co ddtfqu r ","unknown","positive"
" mancity should forget about increasing their stadium capacity they can t even sell out a big match like this ","joy","positive"
" i am genuinely baffled lfc ","anger","negative"
" but for poor finishing we could ve won or lost or won or lost or won or lost or won or lost that lfc mciliv ","sadness","negative"
" the finishing in this game has been appalling game should ve been dead amp buried we ll obviously be made to pay for all those misses lfc ","unknown","negative"
" quel insolence t co eo uq nhg ","unknown","negative"
" mciliv ce match prend compl u e tement feu ud d udd ud d udd ud d udd gros temps fort de liverpool","unknown","positive"
" what the heck is she putting inside n mciliv n t co fzn bqz mj ","unknown","negative"
" ft man city liverpool james milner scoring could have won that could have lost it too but definitely could u ","unknown","neutral"
" liverpool should have been able to win many opportunities that should be a goal ","unknown","positive"
" my father s allegiance lies with the team with more players whose names he can shout regrettably","unknown","negative"
" mad game that such a shame with the lallana miss so sooo bad but we move on","sadness","negative"
" what the heck is she putting inside n mciliv n t co mkwjsjsfh ","unknown","negative"
" agueroooo mciliv ","unknown","positive"
" mciliv michael oliver is having a very good game tryna keep the score as much as he can ","anger","neutral"
" milner to the man city fans mciliv t co fafsym tj ","unknown","positive"
" a solid shift from both sides ud d udd ud d udd t co exgngruq y ","unknown","positive"
" mancity v liverpool is not a big enough game for the etihad to be sold out","unknown","negative"
" lmaooo you got jokes ud d ude it has nothing t co g w xriqf ","unknown","positive"
" fans boo while fans boo ","unknown","positive"
" wow not sure which teams miss was worse ud d ude e mciliv ","unknown","neutral"
" nasty very nasty lfc mciliv cityvlfc toure t co ioddsqteej ","unknown","negative"
" pen u e lti para o liverpool mciliv ","joy","positive"
" at his best coutinho is one of the league u s top players at the moment he u s as close to an empty shirt as he u s been si u ","joy","neutral"
" james milner has never lost a pl game in which he has scored mciliv t co xhpx yv qb u b ufe f t co m iixcnriy ","unknown","negative"
" got from my predictor with barca still play whitesangoma under threat u ","unknown","negative"
" what the heck is she putting inside n mciliv n t co xabh is pl ","unknown","negative"
" another day in the office ahead workathome instead t co pcx qgs yk euro winning jobhuntchat lfc cafc ","unknown","positive"
" u datemyfamily n u ourperfectwedding n u a mciliv n u b lamborghini n u c liverpool n n sast trndnl t co ziighhs p ","unknown","positive"
" full time the pl s third and fourth placed sides share the points after an absolute thriller at the etihad mciliv htt u ","unknown","positive"
" a little dissapointed with the scoreline after where we were at around mons","unknown","negative"
" e ficam no empate num joga u c o milner e fizeram os gols da partida t co zb hlt u ","unknown","negative"
" where the f is our defense clyne","unknown","positive"
" they ve called it a full house at the etihad today mciliv t co uuntgamthu ","unknown","positive"
" what was that lfc ","unknown","positive"
" ft man city lfc stunning game packed full of chances and drama milner penalty cancelled out by aguero ","unknown","negative"
" golo milner gp nman city liverpool mciliv ","unknown","positive"
" ud d udcf james milner makes it ufe f u e out of ufe f u e from the u aa ufe f this season n nit s man city liverpool mins mciliv u ","unknown","positive"
" u u u u u a u u e u u ","unknown","positive"
" phew some game good result tho city bizarre team at times hard to live with the them amp then look like they ll fold at any minute lfc ","joy","negative"
" what the heck is she putting inside n mciliv n t co ynscpkflcz ","unknown","negative"
" ud d udcf sergio aguero celebrates man city s equaliser against liverpool n nit s with mins remaining mciliv t c u ","unknown","positive"
" what the heck is she putting inside n mciliv n t co kejgegsk k ","unknown","negative"
" ud d udd u ufe f n u b ufe f u bd ufe f ud d udd n mciliv t co rsid zwkze ","unknown","positive"
" karakanayasoka dakika ya hapa ukiwa nasi na nani ashi u ","unknown","positive"
" did you watch the fucking clip pal t co mlzejtx zl ","fear","negative"
" cubaan sadio mane berdepan keeper dapat dihalang n nmci lfc mcilfc ynwa ","unknown","negative"
" paddypower new football mcfc lfc mufc spurs n mancity v liverpool nsunday claim gt u t co bposprhklx ","unknown","positive"
" eish giving me asthma ","unknown","positive"
" betfair no risk offer nbet u a get u a n mufc mcfc lfc avfc lufc n spurs bhafc premierleague n avfc lfc claim u ","sadness","negative"
" klopp i m not happy in this moment but give me a few hours and i will be happy lfc t co kigk xaska ","joy","positive"
" the reds look for a swift response but firmino s drive crashes into the side netting n n t co pmuzhwefcf ","unknown","positive"
" gollllllll u n liverpool lfc milner ynwa chupamanchestershit ","unknown","positive"
" emre can pulls back kevin de bruyne","unknown","positive"
" she s beautiful n mciliv n t co decsbzniff ","unknown","positive"
" what the heck is she putting inside n mciliv n t co plvfn efwi ","unknown","negative"
" lfc manchester city liverpool player ratings can gives best performance in red but coutinho anonymous agai u t co ijzmbwrjy ","unknown","neutral"
" on est chanceux lallana rate l immanquable quelle chance mciliv ","joy","positive"
" mciliv result nmilner scored from the spot","unknown","negative"
" i hate clichy ","anger","negative"
" i added a video to a playlist t co jz ybqpvvv lfc career mode ep transfer deadline day ","unknown","positive"
" lfc creating more chances ","unknown","positive"
" ud d udcf james milner makes it ufe f u e out of ufe f u e from the u aa ufe f this season n nit s man city liverpool mins mciliv u ","unknown","positive"
" watched an intense first half at the studio let s keep the three points at home blues ud d udcaa ud c udffc mcfc u ","unknown","positive"
" it has everything but goals so far ud d udd ud d udd t co qx otj ","unknown","positive"
" lfc ha ha ha enough said ","unknown","positive"
" firminio celebrated to early ud d ude ud d ude lfc n n t co q glyz qr ","unknown","positive"
" ud c udfa what a game that was lfc t co z so nrqgm ","unknown","negative"
" goaaaaaal n ncity liverpoool nscorer aguero nassist kdb n n mciliv n iamwonder ","unknown","positive"
" what a shot from silvia wow mciliv ","unknown","positive"
" practice corners ","unknown","positive"
" milner mciliv ","unknown","positive"
" mciliv l u e norme r u e action wtf de guardiola apr u e s une faute offrant un superbe check avec klopp ud d ude ud d udc a ud d ude d pl cc u ","unknown","positive"
" lfc could be top of epl if they had a striker good head to head vs top teams","joy","positive"
" what is with guardiolas jacket mciliv ","unknown","positive"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" manchester city vs liverpool n nwatch lfc mcfc free live stream on t co fsycl dxpc ","joy","positive"
" how come there is still empty seats at this eitihad this is a top fixture n nsmall time club mancity n n mufc mcfc ","surprise","neutral"
" full time at the etihad manchester city liverpool mcfc lfc n nwhat a game u bd ufe f ud d udd ud d udd t co luhagatpq ","unknown","negative"
" good game we build from it ynwa u af already walk dis one alone o","joy","neutral"
" ft n cityvlfc premierleague mcfc t co ouepvx vko ","unknown","positive"
" firminio celebrated to early ud d ude ud d ude lfc n n t co q glyz qr ","unknown","positive"
" wow ud d ude ud d ude ud d ude t co obvhvssl q ","unknown","positive"
" start earning online gt gt upto month t co gzqepwtng sundayfunday lamarathon mciliv goblue online ","unknown","positive"
" segue o jogo t co zl ynn c z ","unknown","positive"
" pl ud c uddec ud c udde man city liverpool n ntermin u c n n mciliv t co xfit npcry ","unknown","positive"
" no mind games no insults just pure respect","joy","positive"
" how come caballero becomes buffon every time he play against us lfc ","unknown","positive"
" you don t often see aguero miss far post","unknown","negative"
" mciliv quel rat u e de lallana qui manque l immanquable ","unknown","negative"
" full time the pl s third and fourth placed sides share the points after an absolute thriller at the etihad mciliv t co rntadqgadw ","unknown","positive"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" goal milner scores to make it to liverpool mciliv ","unknown","positive"
" happy birthday kolo ud c udf t co akg fnvyu ","joy","positive"
" damn it defend the crosses ugh lfc ","unknown","negative"
" city so poor mciliv ","sadness","negative"
" how exactly is that not a red card mciliv ","unknown","positive"
" what liverpool s attack really need n t co uswxqolk v ","unknown","negative"
" city fans are so classless booing one of their most successful players of all time james milner ud d udc matchdaymac t co yxi dfsbjg ","unknown","positive"
" great game this","joy","neutral"
" a thoroughly entertaining contest ends with a share of the points ud d udd ud d udd t co h nnhkmg q ","unknown","positive"
" it was only a matter of time need that second goal lfc come on","unknown","negative"
" kevin de bruyne has registered assists in the premier league this season","unknown","positive"
" it has everything but goals so far ud d udd ud d udd t co qx otj ","unknown","positive"
" never easy watching is it ","unknown","positive"
" can t believe the fans are booing milner","unknown","positive"
" ud d udcf it s still man city liverpool and as we head towards added time u n n u will someone have the final say mciliv u ","unknown","positive"
" ht ud d udd ud d udd n nentertainment","unknown","positive"
" what the heck is she putting inside n mciliv n t co e qnkfuwqy ","unknown","negative"
" u df u eb u ca u fc uff uff uff ud c udf ud c udf ud c udf t co lwzeddoexb ","unknown","positive"
" a draw is decent ","unknown","positive"
" result n shots for city for lfc in first half n for aguer n for defenders ","unknown","positive"
" five manchester city players around oliver after he finally gives penalty fa will presumably charge club for not contro u ","joy","neutral"
" this fucking ref booked lfc players when city players roll around emre can gets up after getting studs in his chest wa u ","unknown","negative"
" ud d ude ud d ude ud d ude ud d ude ultimate l t co uxfavgm st ","unknown","positive"
" goal man city liverpool mins james milner slots home from the spot after clichy had fouled firmino mciliv ","unknown","negative"
" u ab u d u b u a u ed u u f u f u u u b u a u u mancity mciliv jspofootball ","unknown","positive"
" man city e liverpool empatam a com golos de milner e aguero mciliv t co yhxqiwinw ","unknown","positive"
" there will be goals nd half red ones hopefully ","unknown","positive"
" the first claim don t think this was a penalty next one definitely was t co b upedcm ","unknown","neutral"
" can you score please ","anger","positive"
" got to be emre can s best performance for lfc thought he was immense today ","unknown","positive"
" mciliv ud c udf f ","unknown","positive"
" we re back under way at the etihad mciliv ","unknown","negative"
" pl ud c uddec ud c udde man city liverpool n ngoooooooaaaaal de milner n n mciliv t co iwm tikfvx ","unknown","positive"
" top n mciliv n totsou n harry winks n milner n southampton ","surprise","positive"
" cool abah dia t co g ckjt mfu ","unknown","positive"
" should be a fun minutes at the etihad mancity lfc ","unknown","negative"
" what the heck is she putting inside n mciliv n t co g fbu ego ","unknown","negative"
" u u f c u u u b u u e a u c u c lfc ","unknown","positive"
" tamat perlawanan dgn keputusan hasil jaringan milner dan aguero setelah aksi minit terakhir yg mendebarkan u ","anger","positive"
" she s beautiful n mciliv n t co lpmrzvttn ","unknown","positive"
" what the heck is she putting inside n mciliv n t co ef paptj ","unknown","negative"
" she s beautiful n mciliv n t co hmprztvwgd ","unknown","positive"
" ft ud d udd ud d udd n nan absorbing game at the etihad as the points are shared cityvlfc mcfc t co s xfbiweta ","unknown","negative"
" au choix ce dimanche midi u e la tv aux usa njames bond quantum of solace sur ou premier league mciliv u t co psp qqjnq ","joy","positive"
" city and lfc forwards bottled chance after chance like our forwards have done all season ","joy","positive"
" since ","unknown","positive"
" dear god how lfc ","sadness","positive"
" lots of action but not much to enjoy in that half distinct lack of overall quality so underwhelming mciliv ","joy","neutral"
" felizdomingo cr u f nica mcc lfc los reds u b sacan un valioso empate de visitante en el city of manchester ambos mantienen sus posiciones ","unknown","positive"
" if you re booing milner you need to reassess your life quickly mciliv ","unknown","negative"
" ironic cheers from the mcfc fans as the linesman eventually gives us something mciliv ","unknown","negative"
" yaya toure slides in and catches emre can in the chest n n that has got to be a red card savage n n mciliv u ","unknown","negative"
" trading blows left right and centre mciliv ynwa ","unknown","negative"
" what a monumental miss sterling must be working undercover mciliv ","unknown","neutral"
" u a finaliza el partido en manchester ","unknown","positive"
" can again was boss in the middle pep was smart to change yaya toure lfc not forgotten that sexy pass to bob for the pk ","joy","positive"
" god forbid sterling ever scores against lfc ","sadness","neutral"
" proud see hosting lfc legend souness amp ex player book launch u ","joy","positive"
" ud c udfc u s lose on penalties plcup n n t co kxyye kkpr ","unknown","negative"
" live stream manchestercity vs liverpool n nandroid ud d udcf hd n t co hxkfmjd n npc ud d udcbbios ud d udcf u t co i q fmleq ","joy","positive"
" great game emre outstanding anyone says different plays to much fifa lfc decent point top ","joy","positive"
" ud d udd u ufe f n u b ufe f u bd ufe f ud d udd n mciliv t co rsid zwkze ","unknown","positive"
" what the heck is she putting inside n mciliv n t co x nrkxhyfb ","unknown","negative"
" three quick things from manchester city s draw with liverpool mciliv t co peapnqantj ","unknown","positive"
" la sortie de san u e est u e trange tant l allemand a fait des dif dans ce match mciliv ","joy","positive"
" solid start to the second half n nlallana pulls it back for sadio","unknown","positive"
" second half city get us under way again cityvlfc mcfc n n ud d udd ud d udd t co vnttklwrt ","sadness","negative"
" ud d udcf no shortage of excitement at the etihad but it s man city liverpool u somehow mins mciliv t co skmgu u ","joy","neutral"
" what the heck is she putting inside n mciliv n t co nzquwhuxsc ","unknown","negative"
" rt boringmilner it s boringmilner","unknown","positive"
" merci u e et de laisser une petite chance u e mciliv ","unknown","positive"
" u e u e b u e u e u e c u e u e u e u e u e u e u e u e u e u e u e u e u e u e t co krtcijfzcp ","unknown","positive"
" go reds u bd ud d udd ","unknown","positive"
" live match menit ","joy","positive"
" mane will score goals in th second half goodbye for the next hour ","anger","neutral"
" aguero empata o cl u e ssico na inglaterra c u e mera vai pra torcida e camisa do aparece mancity x liverpool ","unknown","positive"
" not going to blame lallana should ve scored but he had a great game in midfield mciliv ","joy","negative"
" adoi tersiku telinga mciliv ","unknown","positive"
" draw it is of the top dropped points","surprise","positive"
" ini kaga kalah aja","unknown","positive"
" oh no","unknown","positive"
" what the heck is she putting inside n mciliv n t co sqxeehwqnr ","unknown","negative"
" ft ud d udd ud d udd n nan absorbing game at the etihad as the points are shared cityvlfc mcfc t co s xfbiweta ","unknown","negative"
" sends off for f ck all but this from yaya toure is ok round of applause ud d udc f ud c udffc for michael oliver u ","unknown","positive"
" mciliv guardiola amp klopp funny moment t co rv e rkmj ","unknown","positive"
" frick we need the three points one is not gonna cut it mciliv lfc t co gfgq ala n ","unknown","negative"
" everyone looks so tired why ","disgust","negative"
" l action de liverpool ud d udd et can qui rate le ballon a m des cages vide mciliv ","unknown","positive"
" got to be emre can s best performance for lfc thought he was immense today ","unknown","positive"
" mciliv a draw is not so bad","sadness","negative"
" what the heck is she putting inside n mciliv n t co kb ns uvm ","unknown","negative"
" name someone like dybala then ","joy","positive"
" what a miss miss miss miss miss miss all misses mciliv ","unknown","negative"
" how s that not a pen mciliv ","joy","positive"
" skysports will now focus on sterling missing a chance rather than look at all the exceptional stuff he s done in the st half mciliv ","unknown","neutral"
" confirmed lfc team to face mignolet","unknown","positive"
" th straight win at whl","unknown","positive"
" origi to win this for us you heard it here first ynwa mciliv ","unknown","positive"
" how do neville and martin tyler keep getting liverpool games","unknown","positive"
" good luck u u t co pmuqpzb u ","joy","positive"
" she s beautiful n mciliv n t co hmprztvwgd ","unknown","positive"
" managers lfc mciliv cityvlfc klopp t co d qtmxy yu ","unknown","positive"
" james milner now scored penalties out of for ","unknown","positive"
" penalty for liverpool lfc t co f zidlkg ","unknown","negative"
" it was even in lallana s strong foot he had time to take a touch not good enough gutted lfc ","joy","positive"
" five manchester city players around oliver after he finally gives penalty fa will presumably charge club for not contro u ","joy","neutral"
" def a pen mcfcvlfc lfc ynwa ","joy","positive"
" pl ud c uddec ud c udde man city liverpool n ntermin u c n n mciliv t co xfit npcry ","unknown","positive"
" great frikkin game mciliv ","joy","neutral"
" a former red and a former blue go head to head u bd ufe f cityvlfc t co gojb hhzds ","sadness","positive"
" shitttt n nit s penalty n n mancity ","unknown","negative"
" get in buzzing like a sticky whiskered bee here lfc ","joy","negative"
" motm was emre can lfc ","unknown","positive"
" el gol de james milner mciliv t co j o chg pu ","unknown","positive"
" ud d udcf no shortage of excitement at the etihad but it s man city liverpool u somehow mins mciliv t co skmgu u ","joy","neutral"
" coutinho","unknown","positive"
" she s beautiful n mciliv n t co l ebkeyxl ","unknown","positive"
" paddypower new football mcfc lfc mufc spurs n mancity v liverpool nsunday claim gt u ","unknown","positive"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" best game this season masterclass in bottling chances mciliv ","unknown","neutral"
"","unknown","positive"
" hope going right comeoncity mcfc mciliv ","unknown","positive"
"","unknown","positive"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" l occasion immanquable pour lallana mciliv ","unknown","positive"
" sergio aguero saves point for man city against liverpool t co qwbmsv vfk lfc liverpool ","unknown","positive"
" happy birthday kolo ud c udf t co akg fnvyu ","joy","positive"
" milner mciliv ","unknown","positive"
" mciliv bonus points as it stands n n u toure n u clichy n u coutinho","unknown","negative"
" tu fais tirer un p u e no u e sadio man u e il a le temps d aller l arr u eater lui m u eame mciliv ","unknown","negative"
" u u u d u a u e u u u u ud d ude t co do tgi ieq ","unknown","positive"
" liverpool seem to be rocking a nice puff sleeve mciliv ","unknown","positive"
" your support is absolutely fucking shit ","unknown","positive"
" que jog u e o x ","unknown","positive"
" what the heck is she putting inside n mciliv n t co j kzblme ","unknown","negative"
" those saying that lallana miss could cost us champs league football obviously missed most of our games in lfc ","unknown","negative"
" ht man city liverpool n nit somehow remains goalless after minutes t co epjzspfppi mciliv t co aowtj u ","unknown","positive"
" city vs keraasss ud d udc f ud d udc f ","unknown","positive"
" where s everyone s shooting boots today ud d ude lfc ","unknown","positive"
" good job ","joy","neutral"
" il arrive dans combien de temps le but de man u e mciliv ","unknown","positive"
" mancity amp liverpool drop points n narsenal is th n nmanunited fans right now n t co setwh xvo ","unknown","positive"
" come on reds","unknown","positive"
" a thoroughly entertaining contest ends with a share of the points ud d udd ud d udd t co h nnhkmg q ","unknown","positive"
" it s boringmilner","unknown","positive"
" here we go ud d udd ud d udd t co cuynl j ","unknown","positive"
" o citou a derrota do lfc pro bournemouth e a sorte u e que n u e o tenho objetos cortantes no meu quarto premierleaguesonaespn ","unknown","positive"
" mciliv inviting ball played into the box but milner is there to turn it behind with sterling lurking still u bd ufe f ","disgust","negative"
" wow getting nothing from this ref mciliv ","unknown","positive"
" lol","unknown","positive"
" why so many empty seats again mciliv ","unknown","negative"
" delete ","unknown","positive"
" never a penalty once you get megged like that","joy","negative"
" come on man city t co am nredj ","unknown","positive"
" mdrrrrrrrrrrrrrr ce match est compl u e tement dingue n mciliv ","joy","positive"
" final score mancity liverpool ","anger","positive"
" pl ud c uddec ud c udde man city liverpool n ngoooooooaaaaal de aguero n n mciliv t co ntudzpu sx ","unknown","positive"
" penalty shout lfc t co pa n bjnee ","unknown","negative"
" goal mciliv n milner pen ","joy","positive"
" a good battle ud d udd ud d udd t co y qkgj gg ","joy","neutral"
" a very nice game t co nmzqvkuily ","unknown","neutral"
" yes great shot by milner love how klopp doesn t watch penalty shots lfc ","joy","neutral"
" half time liv mci n mciliv ","joy","positive"
" city fans eh johnny come latelys t co inlx j ogz ","unknown","positive"
" man city have got arsenal amp chelsea next","unknown","positive"
" imagine being a grown up and getting your phone out to film a pen t co aofrfxtgz ","joy","positive"
" what the heck is she putting inside n mciliv n t co tixye madw ","unknown","negative"
" what the fuck is this game mciliv ","unknown","negative"
" a good battle ud d udd ud d udd t co y qkgj gg ","joy","neutral"
" shouldve wrapped up the game b the th minute unstead of these theatrics now ","unknown","negative"
" sports sportsnews rt skyfootball klopp can t watch ud d ude milner s penalty fires lfc into the lead follow all the u t co hfc naow ","unknown","negative"
" back to it n ncome on","unknown","positive"
" weekend recap united with the points amp now th","unknown","positive"
" city and liverpool finished their who s the shitest finisher in the league pl encounter with a draw lfc mcfc ","unknown","positive"
" she s beautiful n mciliv n t co ekdrojaqkf ","unknown","positive"
" what the heck is she putting inside n mciliv n t co br cdwtg ","unknown","negative"
" magnificent game of football could have been all players gave everything and in my opinion that s all you can ask","unknown","negative"
" mciliv n nsiapa lagi pantas kali ini mane dan otemandi mengejar bola lolos dapat ke mane dan mane t co msngjhdxdm ","anger","negative"
" it has everything but goals so far ud d udd ud d udd t co qx otj ","unknown","positive"
" felizdomingo cr u f nica mcc lfc los reds u b sacan un valioso empate de visitante en el city of manchester y mantienen sus posiciones ","unknown","positive"
" mciliv wt a game ud d udd ","unknown","negative"
" booooom leads mciliv ","unknown","positive"
" we are penaltypool tralala lfc ","unknown","positive"
" this fucking ref booked lfc players when city players roll around emre can gets up after getting studs in his chest wa u ","unknown","negative"
" second half city get us under way again cityvlfc mcfc n n ud d udd ud d udd t co vnttklwrt ","sadness","negative"
